kolega	Kitas žmogus, kuris turi tą pačią profesiją kaip tu.	colleague	Another person who has the same profession as you.	Gydytojas pristatė savo kolegą iš Kauno.	The doctor introduced his colleague from Kaunas.	noun
bendradarbis	Žmogus, kuris dirba toje pačioje gamykloje ar parduotuvėje kaip tu.	coworker	A person who works in the same factory or shop as you.	Mano bendradarbiai yra malonūs.	My coworkers are pleasant.	noun
kaimynas	Žmogus, kuris gyvena bute prie mūsų durų.	neighbor	A person who lives in the flat by our door.	Kalbėjau su kaimynu kieme.	I talked with the neighbor in the yard.	noun
norėti	Kai žmogui labai ko nors reikia ar patinka.	to want	When a person very much needs or likes something.	Vaikas nori valgyti.	The child wants to eat.	verb
pažinti	Žinoti žmogų ir jo vardą.	to know	To be acquainted with a person and his name.	Aš pažįstu tavo brolį.	I know your brother.	verb
susipažinti	Sakyti savo vardą naujam žmogui ir kalbėti.	to get acquainted	To say your name to a new person and talk.	Mes susipažinome vakarėlyje.	We got acquainted at the party.	verb
pristatyti	Sakyti žmonėms, kas yra naujas žmogus.	to introduce	To say to people who the new person is.	Direktorius pristatė naują darbuotoją.	The director introduced the new employee.	verb
draugauti	Dažnai būti kartu ir kalbėti su geru žmogumi.	to be friends	To be together often and to talk with a good person.	Jie draugauja nuo mokyklos.	They have been friends since school.	verb
mylėti	Jausti, kad žmogus tau labai brangus ir mielas.	to love	To feel that a person is very dear and sweet to you.	Mama myli savo vaikus.	Mom loves her children.	verb
kviesti	Prašyti žmogų būti mūsų svečiu.	to invite	To ask a person to be our guest.	Mes kviečiame draugus į vakarėlį.	We invite friends to the party.	verb
kvietimas	Gražus popierius, kuriuo prašome žmogų į vakarėlį.	invitation	A beautiful paper with which we ask a person to a party.	Gavome kvietimą į vestuves.	We received an invitation to the wedding.	noun
svečias	Žmogus, kurio laukiame savo namuose.	guest	A person whom we await in our home.	Vakare turėsime svečių.	In the evening we will have guests.	noun
viešnia	Moteris, kurią kviečiame į savo namus.	female guest	A woman whom we invite to our home.	Viešnios kambarys yra antrame aukšte.	The female guest's room is on the second floor.	noun
vakarėlis	Šventė su muzika, maistu ir draugais.	party	A celebration with music, food and friends.	Šeštadienį einame į vakarėlį.	On Saturday we go to the party.	noun
pasimatymas	Kai vaikinas ir mergina susitinka mieste.	date	When a guy and a young woman meet in the city.	Šiandien turiu pasimatymą su mergina.	Today I have a date with a young woman.	noun
susitarti	Kalbėti su žmogumi ir rasti bendrą planą.	to agree	To talk with a person and find a common plan.	Susitarėme susitikti prie muziejaus.	We agreed to meet by the museum.	verb
kalbėti	Sakyti žodžius burna; ne rašyti.	to speak	To say words with the mouth; not to write.	Jie kalba apie darbą.	They speak about work.	verb
pasakoti	Ilgai kalbėti apie tai, kas buvo.	to tell	To talk for a long time about what happened.	Močiutė pasakoja apie senus laikus.	Grandma tells about old times.	verb
